Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
AUTOSTRADA ARENDAL AS,952671162,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,34,299155719,287075437,12080281,"4,04 %",624840,2518607,-1893767,"-0,63 %",10186514,"3,41 %",7945017,"2,66 %",7945017,3028126,74353501,77381627,"10,27 %",1860000,13493917,"58,88 %","17,44 %",63887710,"473,46 %","82,56 %",77381627,4596188,59291523,"125,40 %",8798698,1
AUTOSTRADA BIL AS,922078165,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,20,20086472,26358775,-6272303,"-31,23 %",32768630,5219063,27549567,"137,15 %",21277265,"105,93 %",23549869,"117,24 %",23549869,157067457,41340478,198407935,"11,87 %",30148199,88952167,"26,47 %","44,83 %",109455768,"123,05 %","55,17 %",198407935,51712516,57743252,"71,59 %",1004324,1
AUTOSTRADA KONGSBERG AS,930014737,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,23,156755541,162038408,-5282867,"-3,37 %",14,1087188,-1087174,"-0,69 %",-6370041,"-4,06 %",-4972901,"-3,17 %",-4972901,6690170,42852827,49542997,"-10,04 %",7500000,2097290,"-237,11 %","4,23 %",47445706,"2262,24 %","95,77 %",49542997,8826859,38618848,"110,96 %",6815458,1
AUTOSTRADA NOTODDEN AS,950090413,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,12,117183317,117174871,8446,"0,01 %",1663,656952,-655290,"-0,56 %",-646844,"-0,55 %",-505886,"-0,43 %",-505886,1657600,32371009,34028609,"-1,49 %",950000,10751422,"-4,71 %","31,60 %",23277187,"216,50 %","68,40 %",34028609,6139758,17137429,"188,89 %",9765276,1
AUTOSTRADA PORSGRUNN AS,980775747,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,43,479373129,457928919,21444210,"4,47 %",2374616,3211591,-836975,"-0,17 %",20607235,"4,30 %",16065047,"3,35 %",16065047,4071090,125602677,129673767,"12,39 %",8128376,22099346,"72,69 %","17,04 %",107574421,"486,78 %","82,96 %",129673767,6022466,101551955,"123,68 %",11148212,1
AUTOSTRADA SELJORD AS,927975564,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,26,157724716,155647785,2076932,"1,32 %",1516,903138,-901621,"-0,57 %",1175310,"0,75 %",912788,"0,58 %",912788,5758287,29648303,35406590,"2,58 %",1000000,6473467,"14,10 %","18,28 %",28933123,"446,95 %","81,72 %",35406590,4946590,23986534,"123,60 %",6066335,1
AUTOTAL AKERSHUS AS,931708384,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,4145033,5290908,-1145875,"-27,64 %",,33191,-33191,"-0,80 %",-1179066,"-28,45 %",-1179066,"-28,45 %",,0,9660889,9660889,"-12,20 %",30000,-1154636,"102,12 %","-11,95 %",10815525,"-936,70 %","111,95 %",9660889,5249191,5566334,"173,56 %",829007,0
AUTOTAL AS,917804125,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,11,201453445,198398600,3054845,"1,52 %",31037,1474951,-1443914,"-0,72 %",1610931,"0,80 %",1070599,"0,53 %",,7821941,37099776,44921717,"2,38 %",50000,21616847,"4,95 %","48,12 %",23304870,"107,81 %","51,88 %",44921717,0,23304870,"159,19 %",18313950,1
AUTOTEAM AS,983033652,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,5805783,6546916,-741133,"-12,77 %",1212,22855,-21643,"-0,37 %",-762776,"-13,14 %",-762776,"-13,14 %",,21101,473129,494230,"-154,34 %",400000,-794391,"96,02 %","-160,73 %",1288621,"-162,21 %","260,73 %",494230,340000,948621,"49,88 %",1161157,0
AUTOTECH SYKKYLVEN AS,932957892,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,5302241,5201439,100802,"1,90 %",168,270,-102,"-0,00 %",100700,"1,90 %",78547,"1,48 %",,337135,650258,987392,"7,95 %",45000,123547,"63,58 %","12,51 %",863846,"699,20 %","87,49 %",987392,11218,852628,"76,27 %",441853,0
AUTOTECH VAREBØRS AS,998796318,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,26,48357690,43960373,4397317,"9,09 %",518087,305059,213028,"0,44 %",4610345,"9,53 %",3588567,"7,42 %",3588567,1878700,24517629,26396329,"13,59 %",100000,16839058,"21,31 %","63,79 %",9557271,"56,76 %","36,21 %",26396329,5999203,3558068,"689,07 %",1859911,0
AUTOTECHNIK AS,985182450,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,21,31503544,27515802,3987742,"12,66 %",250006,928353,-678347,"-2,15 %",3309395,"10,50 %",2581325,"8,19 %",,20871341,8584766,29456107,"8,76 %",100000,8499189,"30,37 %","28,85 %",20956919,"246,58 %","71,15 %",29456108,14395160,6561759,"130,83 %",1500169,0
AUTOTEK BIL AS,998635578,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,36440342,35348828,1091515,"3,00 %",6270,174916,-168646,"-0,46 %",922869,"2,53 %",722092,"1,98 %",722092,1922369,6001017,7923386,"9,11 %",300000,2838157,"25,44 %","35,82 %",5085229,"179,17 %","64,18 %",7923386,1194045,3891184,"154,22 %",3644034,1
AUTO-TEKNIKK DRØBAK AS,984049560,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,12648291,11514311,1133980,"8,97 %",149927,1142,148785,"1,18 %",1282765,"10,14 %",1006690,"7,96 %",1006690,655752,5807495,6463248,"15,58 %",190000,3830529,"26,28 %","59,27 %",2632719,"68,73 %","40,73 %",6463248,0,2632719,"220,59 %",1405366,1
AUTOTEKNIKK ENEBAKK AS,997850831,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,7960399,5977549,1982850,"24,91 %",90140,766,89374,"1,12 %",2072224,"26,03 %",1619007,"20,34 %",1619007,125748,5573152,5698900,"28,41 %",100000,1000000,"161,90 %","17,55 %",4698900,"469,89 %","82,45 %",5698900,0,4698900,"118,61 %",1592080,0
AUTOTJENESTER AS,950233753,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,11226742,11279867,-53125,"-0,47 %",1855,592,1263,"0,01 %",-51862,"-0,46 %",-42427,"-0,38 %",-42427,2046678,5384167,7430845,"-0,57 %",100000,6143373,"-0,69 %","82,67 %",1287472,"20,96 %","17,33 %",7430845,0,1287472,"418,20 %",1871124,1
AUTO-TRIO AS,910357905,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,20,81622388,79219721,2402668,"2,94 %",1605787,829751,776035,"0,95 %",3178703,"3,89 %",2735974,"3,35 %",2735974,9941368,41152810,51094178,"5,35 %",1512000,38943618,"7,03 %","76,22 %",12150560,"31,20 %","23,78 %",51094178,0,12150560,"338,69 %",4081119,1
AUTOTUNING IMPORT AS,985236305,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,10,16287219,13148302,3138917,"19,27 %",119222,9426,109795,"0,67 %",3248712,"19,95 %",2539134,"15,59 %",,207885,6055799,6263684,"40,54 %",400375,2063099,"123,07 %","32,94 %",4200585,"203,61 %","67,06 %",6263684,0,4200585,"144,17 %",1628722,0
AUTOUTSTYR DRAMMEN AS,915215262,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,11,27765911,29000772,-1234861,"-4,45 %",20669,29124,-8455,"-0,03 %",-1243316,"-4,48 %",-974044,"-3,51 %",,301358,12845322,13146680,"-7,41 %",5178982,6414700,"-15,18 %","48,79 %",6731980,"104,95 %","51,21 %",13146680,0,6731980,"190,81 %",2524174,1
AUTOVAULT AS,919552956,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,37177271,35526296,1650975,"4,44 %",61650,135762,-74112,"-0,20 %",1576863,"4,24 %",1242995,"3,34 %",1242995,1366928,4596440,5963368,"20,84 %",30000,2360564,"52,66 %","39,58 %",3602804,"152,62 %","60,42 %",5963368,2537035,1065770,"431,28 %",7435454,1
AUTOVIA AS,990682119,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,14,82393926,81537911,856015,"1,04 %",-84077,163339,-247416,"-0,30 %",608598,"0,74 %",474706,"0,58 %",474706,1574039,14724247,16298286,"2,91 %",1716936,12717847,"3,73 %","78,03 %",3580439,"28,15 %","21,97 %",16298286,1056409,2524030,"583,36 %",5885280,1
AUTOZENTRUM BERGEN AS,914985153,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,35,492947144,491664206,1282938,"0,26 %",58115,5118077,-5059962,"-1,03 %",-3777024,"-0,77 %",-2997697,"-0,61 %",-2997697,22968582,133557296,156525878,"-1,92 %",20742069,25576542,"-11,72 %","16,34 %",130949336,"511,99 %","83,66 %",156525878,0,130949336,"101,99 %",14084204,1
AUTOZENTRUM HOLDING AS,978655289,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,20377649,25841633,-5463984,"-26,81 %",33279306,40526768,-7247462,"-35,57 %",-12711446,"-62,38 %",-15865064,"-77,86 %",,214355167,288820686,503175853,"-3,15 %",9038125,350483443,"-4,53 %","69,65 %",152692410,"43,57 %","30,35 %",503175853,0,152692410,"189,15 %",3396275,1
AUTOZENTRUM TRONDHEIM AS,921045239,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,16,200967766,209639005,-8671240,"-4,31 %",59222,5408956,-5349734,"-2,66 %",-14020974,"-6,98 %",-10971080,"-5,46 %",-10971080,22504429,149825423,172329853,"-6,37 %",26034679,26034679,"-42,14 %","15,11 %",146295174,"561,92 %","84,89 %",172329853,0,146295174,"102,41 %",12560485,1
AUTOZENTRUM ÅLESUND AS,818145802,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,16,193581033,197075277,-3494243,"-1,81 %",14845,3771911,-3757066,"-1,94 %",-7251309,"-3,75 %",-5686958,"-2,94 %",-5686958,11531194,109221651,120752845,"-4,71 %",29997365,18153883,"-31,33 %","15,03 %",102598963,"565,16 %","84,97 %",120752845,0,102598963,"106,45 %",12098815,1
AVALDSNES BILVERKSTED AS,923543449,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,10436811,8911138,1525673,"14,62 %",95174,279,94895,"0,91 %",1620568,"15,53 %",1264687,"12,12 %",1264687,405922,5177204,5583126,"22,65 %",2570620,3364006,"37,59 %","60,25 %",2219121,"65,97 %","39,75 %",5583126,0,2219121,"233,30 %",1490973,0
AVETTI MOTOR AS,996646300,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,99712675,98543884,1168791,"1,17 %",18786,1046250,-1027464,"-1,03 %",141327,"0,14 %",100502,"0,10 %",100502,860692,15645178,16505870,"0,61 %",509680,3748194,"2,68 %","22,71 %",12757676,"340,37 %","77,29 %",16505870,0,12757676,"122,63 %",16618779,1
AVIBIL AS,921203977,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,60526716,59784233,742483,"1,23 %",3412,358324,-354912,"-0,59 %",387571,"0,64 %",294381,"0,49 %",294381,618311,12217892,12836202,"2,29 %",30000,3706552,"7,94 %","28,88 %",9129650,"246,31 %","71,12 %",12836202,1321369,7808281,"156,47 %",12105343,1
B&B BILVERKSTED AS,815359852,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,10,13539685,13426374,113311,"0,84 %",6248,132715,-126467,"-0,93 %",-13156,"-0,10 %",-13156,"-0,10 %",-13156,813844,2373012,3186856,"-0,41 %",73300,207635,"-6,34 %","6,52 %",2979221,"1434,84 %","93,48 %",3186856,1143417,1835804,"129,26 %",1353969,1
BAKKEHAUG BIL AS,932257521,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,18,61747338,58842259,2905079,"4,70 %",492642,68043,424599,"0,69 %",3329678,"5,39 %",2597148,"4,21 %",2597148,3054674,17183047,20237722,"12,83 %",200000,13655481,"19,02 %","67,48 %",6582241,"48,20 %","32,52 %",20237722,18452,6563788,"261,79 %",3430408,1
BAKKEHAUG EIENDOM AS,966075740,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,5508000,3631202,1876798,"34,07 %",2884738,-871662,3756400,"68,20 %",5633199,"102,27 %",5075959,"92,16 %",5075959,2077210,24896040,26973250,"18,82 %",1500000,22632728,"22,43 %","83,91 %",4340523,"19,18 %","16,09 %",26973250,0,4340523,"573,57 %",1101600,1
BAKKEN AUTO AS,938121788,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,4682922,4420625,262297,"5,60 %",755,180,576,"0,01 %",262873,"5,61 %",221247,"4,72 %",221247,1915866,491900,2407766,"9,19 %",100000,907870,"24,37 %","37,71 %",1499896,"165,21 %","62,29 %",2407766,810001,689895,"71,30 %",780487,1
BALDER BILSKADE AS,921077459,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,12949115,13133838,-184723,"-1,43 %",6910,15169,-8259,"-0,06 %",-192982,"-1,49 %",-204993,"-1,58 %",-204993,531898,3699701,4231598,"-4,84 %",1644731,1724273,"-11,89 %","40,75 %",2507325,"145,41 %","59,25 %",4231598,0,2507325,"147,56 %",1849874,1
BALHOLM AUTO AS,913155092,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,4510377,4491177,19200,"0,43 %",8801,32,8769,"0,19 %",27969,"0,62 %",17134,"0,38 %",,134701,3425927,3560628,"0,48 %",30000,550146,"3,11 %","15,45 %",3010483,"547,22 %","84,55 %",3560628,2206732,803751,"426,24 %",751730,1
BALLANGEN BIL OG BÅT AS,915738842,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,9710344,9478015,232329,"2,39 %",3470,131328,-127858,"-1,32 %",104471,"1,08 %",81592,"0,84 %",,1067165,2682336,3749501,"2,18 %",150000,1060337,"7,69 %","28,28 %",2689164,"253,61 %","71,72 %",3749501,1584913,1104251,"242,91 %",1213793,1
BARDU AUTOPUNKT AS,927084678,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,11377632,11130882,246750,"2,17 %",7083,3379,3704,"0,03 %",250454,"2,20 %",194671,"1,71 %",,959696,1419130,2378825,"8,18 %",30000,1152517,"16,89 %","48,45 %",1226308,"106,40 %","51,55 %",2378825,1500,1224808,"115,87 %",1264181,0
BARE BIL AS,917748543,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,108657542,106096313,2561229,"2,36 %",204,197308,-197104,"-0,18 %",2364126,"2,18 %",1754575,"1,61 %",,1604200,23606325,25210524,"6,96 %",1000000,18057162,"9,72 %","71,63 %",7153362,"39,62 %","28,37 %",25210524,3424632,3728731,"633,09 %",18109590,0
BATTERI ELEKTRO AS,914008573,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,24,31772834,28902630,2870204,"9,03 %",69436,30820,38617,"0,12 %",2908821,"9,16 %",2256526,"7,10 %",2256526,948758,5839936,6788694,"33,24 %",40000,250171,"901,99 %","3,69 %",6538522,"2613,62 %","96,31 %",6788694,0,6538522,"89,32 %",1323868,0
BATTERI.NO AS,987147741,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,21462142,20561918,900224,"4,19 %",2509,7875,-5366,"-0,03 %",894858,"4,17 %",711158,"3,31 %",,803303,6096776,6900079,"10,31 %",100000,3787819,"18,77 %","54,90 %",3112261,"82,16 %","45,10 %",6900080,0,3112261,"195,90 %",4292428,0
BAUDA KLARGJØRINGSSENTER AS,934252810,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,20,,72759,-72759,,3945,,3945,,-68814,,-53675,,-53675,0,591744,591744,"-9,07 %",553675,500000,"-10,74 %","84,50 %",91744,"18,35 %","15,50 %",591744,0,91744,"644,99 %",,0
BAUGE AUTO AS,957451713,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,17,176182659,170180402,6002257,"3,41 %",24215,926305,-902090,"-0,51 %",5100166,"2,89 %",3978129,"2,26 %",3978129,2140886,33250045,35390931,"11,24 %",1775500,8327096,"47,77 %","23,53 %",27063835,"325,01 %","76,47 %",35390931,1458000,25605835,"129,85 %",10363686,1
BAVARIA NORGE AS,960804953,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,392,3357474419,3299394191,58080228,"1,73 %",4083377,17139443,-13056066,"-0,39 %",45024162,"1,34 %",35112887,"1,05 %",35112887,103138210,922425376,1025563586,"3,42 %",43396516,295444229,"11,88 %","28,81 %",730119357,"247,13 %","71,19 %",1025563586,0,730119357,"126,34 %",8564986,1
BB DEKKSPESIALISTEN NARVIK AS,998672384,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,14671579,12658475,2013104,"13,72 %",50274,5647,44627,"0,30 %",2057731,"14,03 %",1603859,"10,93 %",1603859,514245,9827490,10341735,"15,51 %",991515,7394234,"21,69 %","71,50 %",2947501,"39,86 %","28,50 %",10341735,0,2947501,"333,42 %",2934316,1
BBC FRITID AS,913265726,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,7,70440851,67322980,3117871,"4,43 %",11697,833700,-822003,"-1,17 %",2295868,"3,26 %",1790778,"2,54 %",1790778,4480289,27970634,32450923,"5,52 %",1316000,16226359,"11,04 %","50,00 %",16224563,"99,99 %","50,00 %",32450923,12451027,3773536,"741,23 %",10062979,1
BBM TEKNIKK AS,818720572,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,4558674,4193313,365361,"8,01 %",171,27428,-27257,"-0,60 %",338105,"7,42 %",338105,"7,42 %",,124821,337325,462146,"73,16 %",1000000,-532855,"-63,45 %","-115,30 %",995000,"-186,73 %","215,30 %",462145,0,995000,"33,90 %",759779,0
BCB BIL OG DELER AS,974535629,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,15539609,15065878,473731,"3,05 %",22053,175994,-153941,"-0,99 %",319790,"2,06 %",257659,"1,66 %",,857519,7672907,8530426,"3,02 %",4813654,4556270,"5,66 %","53,41 %",3974155,"87,22 %","46,59 %",8530425,18294,3955861,"193,96 %",3107922,1
BECKMEISTER AS,994561030,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,11,13658221,13382216,276005,"2,02 %",37481,327962,-290481,"-2,13 %",-14476,"-0,11 %",-24726,"-0,18 %",,7768115,3837810,11605925,"-0,21 %",450000,2483937,"-1,00 %","21,40 %",9121988,"367,24 %","78,60 %",11605926,4691116,4430872,"86,62 %",1241656,1
BEMA AS,921347405,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,50,159700914,147061887,12639027,"7,91 %",3615793,599733,3016060,"1,89 %",15655087,"9,80 %",12512165,"7,83 %",,3947183,95353388,99300571,"12,60 %",58359460,75825296,"16,50 %","76,36 %",23475274,"30,96 %","23,64 %",99300570,0,23475274,"406,19 %",3194018,0
BERG & BJØRGUM AS,961173000,45.403,Vedlikehold og reparasjon av motorsykler,2024,9,21406411,21172710,233701,"1,09 %",46255,50575,-4320,"-0,02 %",229381,"1,07 %",165950,"0,78 %",,3214532,8784597,11999129,"1,38 %",2738775,3086400,"5,38 %","25,72 %",8912729,"288,77 %","74,28 %",11999129,4467225,4445505,"197,61 %",2378490,1
BERG AUTO AS,927208849,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,22,155079206,156086750,-1007544,"-0,65 %",34620,712155,-677534,"-0,44 %",-1685078,"-1,09 %",-1314892,"-0,85 %",-1314892,2415616,28916962,31332578,"-4,20 %",11142864,10759166,"-12,22 %","34,34 %",20573412,"191,22 %","65,66 %",31332578,4782367,15791046,"183,12 %",7049055,1
BERG AUTO NORSPORTS AS,922375992,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,21290398,21538778,-248380,"-1,17 %",283473,20317,263156,"1,24 %",14776,"0,07 %",9714,"0,05 %",,293589,20570629,20864218,"0,05 %",19430,8364964,"0,12 %","40,09 %",12499254,"149,42 %","59,91 %",20864218,11167787,1331467,"1544,96 %",4258080,1
BERG SERVICE AS,942635974,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,8594718,7880431,714287,"8,31 %",23115,169044,-145929,"-1,70 %",568359,"6,61 %",408192,"4,75 %",408192,4569099,2302027,6871126,"5,94 %",100000,3913814,"10,43 %","56,96 %",2957312,"75,56 %","43,04 %",6871126,1999041,958271,"240,23 %",1227817,1
BERGANMOEN VERKSTED AS,981543653,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,9622544,8483956,1138588,"11,83 %",60260,8973,51287,"0,53 %",1189875,"12,37 %",928366,"9,65 %",,428814,8103254,8532068,"10,88 %",100000,6440208,"14,42 %","75,48 %",2091860,"32,48 %","24,52 %",8532068,146245,1945615,"416,49 %",1924509,0
BERGEN BATTERI SERVICE AS,944060995,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,9,47831094,45261704,2569390,"5,37 %",1371,24716,-23345,"-0,05 %",2546045,"5,32 %",1932624,"4,04 %",1932624,881730,13262264,14143995,"13,66 %",100000,4614851,"41,88 %","32,63 %",9529144,"206,49 %","67,37 %",14143995,0,9529144,"139,18 %",5314566,1
BERGEN BILCENTER AS,998488656,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,13,384905000,380649479,4255522,"1,11 %",417081,3066550,-2649469,"-0,69 %",1606053,"0,42 %",1271875,"0,33 %",1271875,4155630,42080075,46235705,"2,75 %",488000,2864948,"44,39 %","6,20 %",43370757,"1513,84 %","93,80 %",46235705,6900000,36470757,"115,38 %",29608077,1
BERGEN BILDEKK AS,987906251,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,25468615,23311838,2156777,"8,47 %",5542,40773,-35232,"-0,14 %",2121545,"8,33 %",1652038,"6,49 %",1652038,387902,9836409,10224311,"16,16 %",203900,6401231,"25,81 %","62,61 %",3823080,"59,72 %","37,39 %",10224311,0,3823080,"257,29 %",4244769,0
BERGEN BILFORMIDLING AS,914280176,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",2024,6,21496216,19671024,1825192,"8,49 %",361,256472,-256111,"-1,19 %",1569081,"7,30 %",1208514,"5,62 %",,3419229,5413201,8832430,"13,68 %",30000,4911573,"24,61 %","55,61 %",3920857,"79,83 %","44,39 %",8832430,3204995,715862,"756,18 %",3582703,1
BERGEN BILLAKKERING AS,914228573,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,15495600,12568238,2927362,"18,89 %",39254,4905,34349,"0,22 %",2961711,"19,11 %",2306572,"14,89 %",2306572,206358,5550130,5756489,"40,07 %",30000,33125,"6963,24 %","0,58 %",5723363,"17278,08 %","99,42 %",5756489,0,5723363,"96,97 %",2213657,0
BERGEN CARAVAN AS,938248281,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,27,109730154,113600926,-3870773,"-3,53 %",38905,540800,-501895,"-0,46 %",-4372667,"-3,98 %",-4372667,"-3,98 %",-4372667,314010,38318507,38632517,"-11,32 %",2100000,22341154,"-19,57 %","57,83 %",16291364,"72,92 %","42,17 %",38632517,0,6995053,"547,79 %",4064080,1
